Year,Transport Type,Emissions (MtCO2e)
1990,"Domestic road transport, Heavy goods vehicles",21.3
1991,"Domestic road transport, Heavy goods vehicles",20.2
1992,"Domestic road transport, Heavy goods vehicles",20.2
1993,"Domestic road transport, Heavy goods vehicles",20.4
1994,"Domestic road transport, Heavy goods vehicles",21.1
1995,"Domestic road transport, Heavy goods vehicles",20.9
1996,"Domestic road transport, Heavy goods vehicles",21.5
1997,"Domestic road transport, Heavy goods vehicles",21.6
1998,"Domestic road transport, Heavy goods vehicles",21.0
1999,"Domestic road transport, Heavy goods vehicles",20.9
2000,"Domestic road transport, Heavy goods vehicles",20.6
2001,"Domestic road transport, Heavy goods vehicles",20.6
2002,"Domestic road transport, Heavy goods vehicles",21.1
2003,"Domestic road transport, Heavy goods vehicles",21.2
2004,"Domestic road transport, Heavy goods vehicles",21.6
2005,"Domestic road transport, Heavy goods vehicles",21.7
2006,"Domestic road transport, Heavy goods vehicles",21.7
2007,"Domestic road transport, Heavy goods vehicles",21.8
2008,"Domestic road transport, Heavy goods vehicles",20.2
2009,"Domestic road transport, Heavy goods vehicles",18.5
2010,"Domestic road transport, Heavy goods vehicles",19.0
2011,"Domestic road transport, Heavy goods vehicles",18.5
2012,"Domestic road transport, Heavy goods vehicles",18.3
2013,"Domestic road transport, Heavy goods vehicles",18.3
2014,"Domestic road transport, Heavy goods vehicles",18.7
2015,"Domestic road transport, Heavy goods vehicles",19.5
2016,"Domestic road transport, Heavy goods vehicles",19.9
2017,"Domestic road transport, Heavy goods vehicles",20.1
2018,"Domestic road transport, Heavy goods vehicles",20.0
2019,"Domestic road transport, Heavy goods vehicles",19.4
2020,"Domestic road transport, Heavy goods vehicles",18.5
2021,"Domestic road transport, Heavy goods vehicles",20.2
2022,"Domestic road transport, Heavy goods vehicles",19.1
1990,"Domestic road transport, Light vans",11.5
1991,"Domestic road transport, Light vans",11.9
1992,"Domestic road transport, Light vans",12.0
1993,"Domestic road transport, Light vans",12.1
1994,"Domestic road transport, Light vans",12.6
1995,"Domestic road transport, Light vans",12.5
1996,"Domestic road transport, Light vans",13.0
1997,"Domestic road transport, Light vans",13.4
1998,"Domestic road transport, Light vans",13.6
1999,"Domestic road transport, Light vans",13.6
2000,"Domestic road transport, Light vans",13.5
2001,"Domestic road transport, Light vans",13.5
2002,"Domestic road transport, Light vans",13.7
2003,"Domestic road transport, Light vans",14.1
2004,"Domestic road transport, Light vans",14.5
2005,"Domestic road transport, Light vans",14.9
2006,"Domestic road transport, Light vans",15.2
2007,"Domestic road transport, Light vans",15.7
2008,"Domestic road transport, Light vans",14.9
2009,"Domestic road transport, Light vans",14.6
2010,"Domestic road transport, Light vans",15.0
2011,"Domestic road transport, Light vans",15.1
2012,"Domestic road transport, Light vans",15.5
2013,"Domestic road transport, Light vans",15.6
2014,"Domestic road transport, Light vans",16.3
2015,"Domestic road transport, Light vans",17.1
2016,"Domestic road transport, Light vans",18.4
2017,"Domestic road transport, Light vans",18.6
2018,"Domestic road transport, Light vans",18.6
2019,"Domestic road transport, Light vans",18.2
2020,"Domestic road transport, Light vans",16.5
2021,"Domestic road transport, Light vans",18.6
2022,"Domestic road transport, Light vans",18.6
1990,"Domestic road transport, Buses and coaches",5.3
1991,"Domestic road transport, Buses and coaches",5.4
1992,"Domestic road transport, Buses and coaches",5.3
1993,"Domestic road transport, Buses and coaches",5.3
1994,"Domestic road transport, Buses and coaches",5.4
1995,"Domestic road transport, Buses and coaches",5.5
1996,"Domestic road transport, Buses and coaches",5.6
1997,"Domestic road transport, Buses and coaches",5.6
1998,"Domestic road transport, Buses and coaches",5.4
1999,"Domestic road transport, Buses and coaches",5.2
2000,"Domestic road transport, Buses and coaches",4.9
2001,"Domestic road transport, Buses and coaches",4.8
2002,"Domestic road transport, Buses and coaches",4.8
2003,"Domestic road transport, Buses and coaches",4.9
2004,"Domestic road transport, Buses and coaches",4.6
2005,"Domestic road transport, Buses and coaches",4.6
2006,"Domestic road transport, Buses and coaches",4.6
2007,"Domestic road transport, Buses and coaches",4.7
2008,"Domestic road transport, Buses and coaches",4.1
2009,"Domestic road transport, Buses and coaches",4.1
2010,"Domestic road transport, Buses and coaches",4.2
2011,"Domestic road transport, Buses and coaches",3.9
2012,"Domestic road transport, Buses and coaches",3.9
2013,"Domestic road transport, Buses and coaches",3.8
2014,"Domestic road transport, Buses and coaches",3.7
2015,"Domestic road transport, Buses and coaches",3.6
2016,"Domestic road transport, Buses and coaches",3.5
2017,"Domestic road transport, Buses and coaches",3.3
2018,"Domestic road transport, Buses and coaches",3.1
2019,"Domestic road transport, Buses and coaches",3.0
2020,"Domestic road transport, Buses and coaches",2.2
2021,"Domestic road transport, Buses and coaches",2.4
2022,"Domestic road transport, Buses and coaches",2.6
1990,"Domestic road transport, Motorcycles and mopeds",0.7
1991,"Domestic road transport, Motorcycles and mopeds",0.7
1992,"Domestic road transport, Motorcycles and mopeds",0.6
1993,"Domestic road transport, Motorcycles and mopeds",0.5
1994,"Domestic road transport, Motorcycles and mopeds",0.5
1995,"Domestic road transport, Motorcycles and mopeds",0.4
1996,"Domestic road transport, Motorcycles and mopeds",0.5
1997,"Domestic road transport, Motorcycles and mopeds",0.5
1998,"Domestic road transport, Motorcycles and mopeds",0.5
1999,"Domestic road transport, Motorcycles and mopeds",0.6
2000,"Domestic road transport, Motorcycles and mopeds",0.6
2001,"Domestic road transport, Motorcycles and mopeds",0.6
2002,"Domestic road transport, Motorcycles and mopeds",0.6
2003,"Domestic road transport, Motorcycles and mopeds",0.6
2004,"Domestic road transport, Motorcycles and mopeds",0.6
2005,"Domestic road transport, Motorcycles and mopeds",0.6
2006,"Domestic road transport, Motorcycles and mopeds",0.6
2007,"Domestic road transport, Motorcycles and mopeds",0.6
2008,"Domestic road transport, Motorcycles and mopeds",0.6
2009,"Domestic road transport, Motorcycles and mopeds",0.6
2010,"Domestic road transport, Motorcycles and mopeds",0.5
2011,"Domestic road transport, Motorcycles and mopeds",0.5
2012,"Domestic road transport, Motorcycles and mopeds",0.5
2013,"Domestic road transport, Motorcycles and mopeds",0.5
2014,"Domestic road transport, Motorcycles and mopeds",0.5
2015,"Domestic road transport, Motorcycles and mopeds",0.5
2016,"Domestic road transport, Motorcycles and mopeds",0.5
2017,"Domestic road transport, Motorcycles and mopeds",0.5
2018,"Domestic road transport, Motorcycles and mopeds",0.5
2019,"Domestic road transport, Motorcycles and mopeds",0.5
2020,"Domestic road transport, Motorcycles and mopeds",0.4
2021,"Domestic road transport, Motorcycles and mopeds",0.4
2022,"Domestic road transport, Motorcycles and mopeds",0.5
1990,"Domestic non-road transport, Rail",2.0
1991,"Domestic non-road transport, Rail",2.0
1992,"Domestic non-road transport, Rail",2.0
1993,"Domestic non-road transport, Rail",1.9
1994,"Domestic non-road transport, Rail",1.9
1995,"Domestic non-road transport, Rail",2.0
1996,"Domestic non-road transport, Rail",2.1
1997,"Domestic non-road transport, Rail",2.2
1998,"Domestic non-road transport, Rail",2.2
1999,"Domestic non-road transport, Rail",2.2
2000,"Domestic non-road transport, Rail",2.1
2001,"Domestic non-road transport, Rail",2.2
2002,"Domestic non-road transport, Rail",2.1
2003,"Domestic non-road transport, Rail",1.8
2004,"Domestic non-road transport, Rail",1.9
2005,"Domestic non-road transport, Rail",1.9
2006,"Domestic non-road transport, Rail",1.9
2007,"Domestic non-road transport, Rail",2.0
2008,"Domestic non-road transport, Rail",2.0
2009,"Domestic non-road transport, Rail",2.0
2010,"Domestic non-road transport, Rail",2.0
2011,"Domestic non-road transport, Rail",1.9
2012,"Domestic non-road transport, Rail",2.0
2013,"Domestic non-road transport, Rail",2.0
2014,"Domestic non-road transport, Rail",2.0
2015,"Domestic non-road transport, Rail",1.9
2016,"Domestic non-road transport, Rail",1.9
2017,"Domestic non-road transport, Rail",1.9
2018,"Domestic non-road transport, Rail",1.8
2019,"Domestic non-road transport, Rail",1.9
2020,"Domestic non-road transport, Rail",1.4
2021,"Domestic non-road transport, Rail",1.6
2022,"Domestic non-road transport, Rail",1.5
1990,"Domestic non-road transport, Aviation",1.5
1991,"Domestic non-road transport, Aviation",1.5
1992,"Domestic non-road transport, Aviation",1.5
1993,"Domestic non-road transport, Aviation",1.5
1994,"Domestic non-road transport, Aviation",1.4
1995,"Domestic non-road transport, Aviation",1.4
1996,"Domestic non-road transport, Aviation",1.6
1997,"Domestic non-road transport, Aviation",1.7
1998,"Domestic non-road transport, Aviation",1.8
1999,"Domestic non-road transport, Aviation",2.0
2000,"Domestic non-road transport, Aviation",2.1
2001,"Domestic non-road transport, Aviation",2.2
2002,"Domestic non-road transport, Aviation",2.2
2003,"Domestic non-road transport, Aviation",2.3
2004,"Domestic non-road transport, Aviation",2.4
2005,"Domestic non-road transport, Aviation",2.6
2006,"Domestic non-road transport, Aviation",2.5
2007,"Domestic non-road transport, Aviation",2.3
2008,"Domestic non-road transport, Aviation",2.2
2009,"Domestic non-road transport, Aviation",2.0
2010,"Domestic non-road transport, Aviation",1.8
2011,"Domestic non-road transport, Aviation",1.7
2012,"Domestic non-road transport, Aviation",1.6
2013,"Domestic non-road transport, Aviation",1.7
2014,"Domestic non-road transport, Aviation",1.6
2015,"Domestic non-road transport, Aviation",1.6
2016,"Domestic non-road transport, Aviation",1.5
2017,"Domestic non-road transport, Aviation",1.6
2018,"Domestic non-road transport, Aviation",1.5
2019,"Domestic non-road transport, Aviation",1.4
2020,"Domestic non-road transport, Aviation",0.6
2021,"Domestic non-road transport, Aviation",0.7
2022,"Domestic non-road transport, Aviation",1.1
1990,Domestic non-road transport,8.5
1991,Domestic non-road transport,8.4
1992,Domestic non-road transport,8.3
1993,Domestic non-road transport,8.5
1994,Domestic non-road transport,9.5
1995,Domestic non-road transport,9.9
1996,Domestic non-road transport,9.9
1997,Domestic non-road transport,9.6
1998,Domestic non-road transport,9.8
1999,Domestic non-road transport,9.9
2000,Domestic non-road transport,9.0
2001,Domestic non-road transport,8.6
2002,Domestic non-road transport,8.8
2003,Domestic non-road transport,8.4
2004,Domestic non-road transport,8.3
2005,Domestic non-road transport,8.2
2006,Domestic non-road transport,7.7
2007,Domestic non-road transport,7.8
2008,Domestic non-road transport,7.4
2009,Domestic non-road transport,7.2
2010,Domestic non-road transport,6.9
2011,Domestic non-road transport,6.5
2012,Domestic non-road transport,6.0
2013,Domestic non-road transport,5.6
2014,Domestic non-road transport,5.8
2015,Domestic non-road transport,6.1
2016,Domestic non-road transport,6.0
2017,Domestic non-road transport,5.9
2018,Domestic non-road transport,5.9
2019,Domestic non-road transport,6.0
2020,Domestic non-road transport,5.2
2021,Domestic non-road transport,5.3
2022,Domestic non-road transport,5.3
