country,Code,Year,emissions,gdp,pop,gdp_log
Mauritius,MUS,2022,3.0781853,20643.094,1276134,4.31477479
Mexico,MEX,2022,3.6181042,16235.455,128613113,4.210464464
Moldova,MDA,2022,1.9046042,6674.871,3039987,3.824442877
Mongolia,MNG,2022,12.821786,13442.906,3386015,4.128493162
Montenegro,MNE,2022,3.8892248,20941.805,614650,4.321014111
Morocco,MAR,2022,1.8619682,8400.127,37329069,3.924285852
Mozambique,MOZ,2022,0.25593418,1087.836,32656240,3.036563427
Myanmar,MMR,2022,0.54937565,5177.4326,53756790,3.714114454
Namibia,NAM,2022,1.4136043,7979.328,2889668,3.901966318
Nepal,NPL,2022,0.54143506,3013.5178,29715434,3.479073761
Netherlands,NLD,2022,7.10668,49669.867,17904422,4.696092997
New Zealand,NZL,2022,6.1597295,38250.12,5131733,4.582632802
Nicaragua,NIC,2022,0.78686625,5092.8413,6730661,3.706960143
Niger,NER,2022,0.1065656,1007.72095,25311977,3.003340287
Nigeria,NGA,2022,0.58959305,5070.4927,223150906,3.705050162
North Korea,PRK,2022,2.1342523,1568.847,26328842,3.195580592
North Macedonia,MKD,2022,3.8730772,14050.995,1840236,4.147707079
Norway,NOR,2022,7.4783826,88366.22,5456795,4.946286278
Oman,OMN,2022,16.19496,47988.65,4730227,4.681138533
Pakistan,PAK,2022,0.9184807,5531.723,243700667,3.742860425
Palestine,PSE,2022,0.6626704,4775.202,5305274,3.678991748
Panama,PAN,2022,2.5803442,23557.02,4400772,4.372120351
Paraguay,PRY,2022,1.1992412,8762.771,6760461,3.942641462
Peru,PER,2022,1.6368117,12762.967,33475435,4.105951646
Philippines,PHL,2022,1.271431,8370.666,113964342,3.922760013
Poland,POL,2022,8.207275,32468.402,38385734,4.511460914
Portugal,PRT,2022,3.905804,28992.059,10417075,4.46227906
Qatar,QAT,2022,36.699455,149171.11,2892465,5.173684721
Romania,ROU,2022,3.8082967,26197.904,19166776,4.418266546
Russia,RUS,2022,12.379388,25437.107,145579890,4.405467717
Rwanda,RWA,2022,0.112867266,2198.0662,13651026,3.342040768
Saint Lucia,LCA,2022,2.741865,10452.165,178794,4.019206257
Sao Tome and Principe,STP,2022,0.7063447,3751.6428,226313,3.574221482
Saudi Arabia,SAU,2022,22.480917,53516.91,32175352,4.72849103
Senegal,SEN,2022,0.69540817,2660.6816,17651099,3.424992906
Serbia,SRB,2022,6.407803,17097.686,6791218,4.232937337
Seychelles,SYC,2022,4.4108114,31055.39,125532,4.492136988
Sierra Leone,SLE,2022,0.15435418,1690.4982,8276808,3.228014713
Singapore,SGP,2022,8.47322,80320.086,5649886,4.904824165
Slovakia,SVK,2022,5.764503,27519.287,5473194,4.439637178
Slovenia,SVN,2022,6.0046854,32673.762,2115230,4.514199141
South Africa,ZAF,2022,6.4976277,11415.887,62378419,4.057509661
South Korea,KOR,2022,11.627331,41320.9,51782514,4.616169772
Spain,ESP,2022,4.906229,34123.387,47828386,4.533052132
Sri Lanka,LKA,2022,0.87160516,10705.481,22834964,4.029606185
Sweden,SWE,2022,3.573302,47126.13,10487333,4.673261777
Switzerland,CHE,2022,3.7327363,63323.254,8792180,4.801563224
Syria,SYR,2022,1.1269531,2494.7612,22462170,3.397028981
Taiwan,TWN,2022,11.685208,53142.984,23420107,4.725445937
Tajikistan,TJK,2022,0.8805482,5507.5454,10182229,3.740958086
Tanzania,TZA,2022,0.27407458,3057.3286,64711821,3.485342119
Thailand,THA,2022,3.7997096,16421.072,71735320,4.215401505
Togo,TGO,2022,0.29509485,1586.5889,9089742,3.200464412
Trinidad and Tobago,TTO,2022,24.26992,25773.006,1495922,4.411165075
Tunisia,TUN,2022,2.636084,10913.846,12119336,4.037977821
Turkey,TUR,2022,5.0231223,27361.988,87058470,4.437147648
Turkmenistan,TKM,2022,8.873119,17234.555,7230198,4.236400074
Uganda,UGA,2022,0.11916314,2122.0278,47312718,3.326751069
Ukraine,UKR,2022,3.4380171,7749.0996,41048767,3.889251243
United Arab Emirates,ARE,2022,22.063599,77203.67,10242085,4.887637946
United Kingdom,GBR,2022,4.6030793,38406.53,68179315,4.584405071
United States,USA,2022,14.870761,58487.465,341534041,4.767062798
Uruguay,URY,2022,2.3061185,20181.94,3390913,4.304962911
Uzbekistan,UZB,2022,3.5787795,12559.401,34938955,4.098968927
Venezuela,VEN,2022,3.1019225,5267.1753,28213016,3.721577773
Vietnam,VNM,2022,2.9858737,8050.359,99680656,3.905815248
Yemen,YEM,2022,0.26937118,1959.3195,38222880,3.292105261
Zambia,ZMB,2022,0.37323508,3342.4214,20152934,3.524061203
Zimbabwe,ZWE,2022,0.64875853,1703.5294,16069061,3.231349633
