country,emissions,gdp
"Iran, Islamic Rep.",951.8312,3.77663140152906
Iraq,367.9411,7.63981140218355
Ireland,62.3581,8.61950355191492
Israel,87.7537,6.47037150232485
Italy,394.6564,4.66176265113695
Jamaica,7.7068,5.22151984737387
Japan,1182.3124,0.954736937781391
Jordan,34.5392,2.64743616429071
Kazakhstan,331.3255,3.19999999970734
Kenya,117.8948,4.85998104287999
Kiribati,0.11,3.90535280738948
"Korea, Rep.",725.6826,2.61267219187226
Kuwait,167.862,5.85920887270251
Kyrgyz Republic,21.9396,8.96750520041391
Lao PDR,36.8615,2.70742652643155
Latvia,11.1078,1.8126824022841
Lebanon,31.9268,-0.621678970663112
Lesotho,3.0231,2.38778020186284
Liberia,5.3112,4.80810517290655
Libya,104.5139,-8.25163004105288
Lithuania,20.8469,2.53752500887173
Luxembourg,8.4756,1.38018589083207
"Macao SAR, China",2.4141,-19.6093363742205
Madagascar,34.9798,3.99999999869678
Malawi,20.8724,0.921115069005936
Malaysia,353.9151,8.86182187578046
Maldives,2.4243,13.8260895184139
Mali,49.3832,3.47495171106735
Malta,2.1782,4.14788281601133
Marshall Islands,0.0024,-1.11806797853311
Mauritania,16.6699,6.79600510182286
Mauritius,6.409,8.87988519700977
Mexico,819.8367,3.68911109348025
"Micronesia, Fed. Sts.",0.052,-0.778210116731515
Moldova,12.3203,-5.01548231924089
Mongolia,62.7903,5.0327096366527
Morocco,114.7707,1.52720357976111
Mozambique,40.0721,4.36445074535436
Myanmar,169.3869,4.03749343593624
Namibia,13.1028,5.34966408559102
Nauru,0.0012,3.02263627499464
Nepal,56.7046,5.63131455871746
Netherlands,167.8474,5.00723459045037
New Caledonia,5.6879,3.49999999631376
New Zealand,82.7195,2.7748426484212
Nicaragua,21.0252,3.75228475736668
Niger,43.2401,11.9000000000277
Nigeria,407.6597,3.25168140827093
North Macedonia,11.1838,2.75888415332967
Northern Mariana Islands,0.0037,16.6427546628408
Norway,69.935,3.00563516076298
Oman,137.2437,9.5771061309605
Pakistan,546.0993,4.7781068690358
Palau,1.4181,-1.31844903330447
Panama,18.4776,10.769665870619
Papua New Guinea,9.0968,5.70758411822096
Paraguay,45.5653,0.176038366132886
Peru,105.1089,2.72550021563363
Philippines,265.2654,7.58098212785563
Poland,400.2439,5.25545697386036
Portugal,59.682,6.98584193827881
Puerto Rico,15.2646,3.56811024720668
Qatar,194.6521,4.18500971344966
Romania,117.0305,3.96530766311717
Russian Federation,2578.9908,-2.06971152527731
Rwanda,9.0318,8.15773308481241
Samoa,0.5484,-5.30629089966979
Sao Tome and Principe,0.2624,0.168698492216564
Saudi Arabia,810.5116,7.48598429134137
Senegal,30.6145,3.82586363675534
Seychelles,1.1994,14.9768513322959
Sierra Leone,7.1231,5.3135546141915
Singapore,70.4695,3.83807678519807
Slovak Republic,45.4727,0.449673875081572
Slovenia,18.2453,2.69923755687375
Solomon Islands,0.5938,2.40248143622522
Somalia,33.3582,2.72711429582988
South Africa,533.8207,1.91147996033504
Spain,328.6332,6.17931222572963
Sri Lanka,38.8045,-7.34679123599076
St. Kitts and Nevis,0.1533,10.5228492759939
St. Lucia,0.4334,20.3867675749845
St. Vincent and the Grenadines,0.1546,7.1598328657349
Sudan,146.9554,-0.957816591119183
Suriname,4.5003,2.40622235601218
Sweden,60.6063,1.45928850757269
Switzerland,45.5638,2.56832817834069
Syrian Arab Republic,46.3118,0.732781301861365
Tajikistan,22.7552,8.00000033846364
Tanzania,89.3479,4.56600576430955
Thailand,463.8545,2.46276934050356
Timor-Leste,2.4757,-20.584244040573
Togo,11.0876,5.75954251521733
Tonga,0.2841,-2.30986002720401
Trinidad and Tobago,45.9109,1.48223484044745
Tunisia,49.8201,2.67331821840567
Turkiye,687.1665,5.53342787492781
Turkmenistan,128.9192,6.19999993621698
Turks and Caicos Islands,0.1007,6.19999948551566
Tuvalu,0.0059,0.677309361438304
Uganda,56.4904,4.58802192181773
Ukraine,208.4553,-28.7585842132117
United Arab Emirates,295.1103,7.50969703221836
United Kingdom,425.9522,4.83908514714403
United States,6009.5848,2.51237531983308
Uruguay,41.9078,4.70725761465232
Uzbekistan,227.1577,6.00134232206508
Vanuatu,0.5859,1.9160570121628
Viet Nam,488.8638,8.12351446767343
Virgin Islands (U.S.),0.0374,-1.31123206333498
Zambia,30.3001,5.21122360356247
Zimbabwe,30.1529,6.13926326513234
